date,SIBN
2005-01-11,82.87
2005-01-12,84.01
2005-01-13,84.82
2005-01-14,86.4
2005-01-17,85.0
2005-01-18,83.0
2005-01-19,84.1
2005-01-20,80.07
2005-01-21,80.9
2005-01-24,82.7
2005-01-25,82.75
2005-01-26,82.5
2005-01-27,82.49
2005-01-28,84.8
2005-01-31,88.18
2005-02-01,88.74
2005-02-02,90.15
2005-02-03,89.12
2005-02-04,88.0
2005-02-07,87.19
2005-02-08,90.0
2005-02-09,88.1
2005-02-10,90.0
2005-02-11,89.4
2005-02-14,89.29
2005-02-15,89.11
2005-02-16,90.8
2005-02-17,92.65
2005-02-18,94.01
2005-02-21,94.92
2005-02-22,93.89
2005-02-24,96.55
2005-02-25,96.49
2005-02-28,97.5
2005-03-01,96.6
2005-03-02,94.69
2005-03-03,95.5
2005-03-04,96.75
2005-03-05,98.77
2005-03-09,98.05
2005-03-10,94.0
2005-03-11,93.48
2005-03-14,90.5
2005-03-15,90.75
2005-03-16,87.9
2005-03-17,88.5
2005-03-18,88.5
2005-03-21,85.5
2005-03-22,87.2
2005-03-23,86.87
2005-03-24,91.0
2005-03-25,91.58
2005-03-28,91.6
2005-03-29,89.16
2005-03-30,87.68
2005-03-31,88.22
2005-04-01,90.12
2005-04-04,89.05
2005-04-05,90.66
2005-04-06,93.45
2005-04-07,93.88
2005-04-08,93.89
2005-04-11,89.99
2005-04-12,89.5
2005-04-13,88.75
2005-04-14,86.45
2005-04-15,85.14
2005-04-18,85.4
2005-04-19,86.95
2005-04-20,86.65
2005-04-21,88.3
2005-04-22,89.26
2005-04-25,90.05
2005-04-26,88.5
2005-04-27,86.2
2005-04-28,86.4
2005-04-29,86.89
2005-05-03,86.99
2005-05-04,87.04
2005-05-05,88.51
2005-05-06,86.98
2005-05-11,86.12
2005-05-12,82.99
2005-05-13,84.0
2005-05-14,83.87
2005-05-16,82.27
2005-05-17,84.86
2005-05-18,85.09
2005-05-19,85.58
2005-05-20,85.1
2005-05-23,85.0
2005-05-24,86.65
2005-05-25,85.6
2005-05-26,84.65
2005-05-27,85.29
2005-05-30,85.0
2005-05-31,88.04
2005-06-01,86.25
2005-06-02,86.9
2005-06-03,87.03
2005-06-06,86.45
2005-06-07,87.18
2005-06-08,86.95
2005-06-09,86.55
2005-06-10,86.92
2005-06-14,88.65
2005-06-15,87.51
2005-06-16,87.4
2005-06-17,88.5
2005-06-20,88.98
2005-06-21,87.88
2005-06-22,89.1
2005-06-23,89.21
2005-06-24,91.1
2005-06-27,90.31
2005-06-28,91.73
2005-06-29,92.87
2005-06-30,94.95
2005-07-01,98.29
2005-07-04,102.0
2005-07-05,99.93
2005-07-06,101.98
2005-07-07,101.17
2005-07-08,100.49
2005-07-11,100.0
2005-07-12,98.25
2005-07-13,98.79
2005-07-14,96.63
2005-07-15,95.84
2005-07-18,94.3
2005-07-19,95.3
2005-07-20,96.44
2005-07-21,97.5
2005-07-22,96.87
2005-07-25,95.29
2005-07-26,95.4
2005-07-27,98.4
2005-07-28,91.0
2005-07-29,89.92
2005-08-01,89.39
2005-08-02,89.66
2005-08-03,85.7
2005-08-04,88.0
2005-08-05,88.15
2005-08-08,89.0
2005-08-09,88.84
2005-08-10,89.0
2005-08-11,88.5
2005-08-12,88.68
2005-08-15,90.8
2005-08-16,96.4
2005-08-17,100.25
2005-08-18,103.0
2005-08-19,105.78
2005-08-22,103.3
2005-08-23,102.55
2005-08-24,102.29
2005-08-25,104.0
2005-08-26,103.75
2005-08-29,102.1
2005-08-30,101.01
2005-08-31,100.0
2005-09-01,99.99
2005-09-02,100.5
2005-09-05,99.35
2005-09-06,98.02
2005-09-07,96.5
2005-09-08,96.75
2005-09-09,99.0
2005-09-12,98.03
2005-09-13,95.31
2005-09-14,96.52
2005-09-15,95.81
2005-09-16,97.0
2005-09-19,98.85
2005-09-20,98.55
2005-09-21,100.02
2005-09-22,99.8
2005-09-23,102.1
2005-09-26,101.22
2005-09-27,117.0
2005-09-28,105.8
2005-09-29,100.12
2005-09-30,102.69
2005-10-03,103.39
2005-10-04,101.44
2005-10-05,98.0
2005-10-06,92.35
2005-10-07,94.3
2005-10-10,96.12
2005-10-11,100.5
2005-10-12,97.2
2005-10-13,95.77
2005-10-14,92.76
2005-10-17,94.0
2005-10-18,94.3
2005-10-19,96.55
2005-10-20,96.39
2005-10-21,94.4
2005-10-24,96.8
2005-10-25,96.6
2005-10-26,97.8
2005-10-27,99.0
2005-10-28,102.5
2005-10-31,102.49
2005-11-01,101.0
2005-11-02,102.3
2005-11-03,102.52
2005-11-07,100.5
2005-11-08,100.5
2005-11-09,101.25
2005-11-10,100.0
2005-11-11,102.1
2005-11-14,103.01
2005-11-15,104.01
2005-11-16,105.75
2005-11-17,106.75
2005-11-18,105.99
2005-11-21,103.9
2005-11-22,105.0
2005-11-23,105.0
2005-11-24,105.53
2005-11-25,105.5
2005-11-28,105.61
2005-11-29,105.5
2005-11-30,105.9
2005-12-01,108.0
2005-12-02,106.68
2005-12-05,106.04
2005-12-06,106.04
2005-12-07,106.54
2005-12-08,105.75
2005-12-09,106.01
2005-12-12,106.5
2005-12-13,106.3
2005-12-14,106.12
2005-12-15,106.01
2005-12-16,106.5
2005-12-19,112.0
2005-12-20,109.59
2005-12-21,110.87
2005-12-22,110.28
2005-12-23,107.75
2005-12-26,108.0
2005-12-27,107.11
2005-12-28,106.75
2005-12-29,106.01
2005-12-30,107.51
2006-01-10,110.9
2006-01-11,110.3
2006-01-12,111.0
2006-01-13,111.9
2006-01-16,115.74
2006-01-17,116.9
2006-01-18,116.05
2006-01-19,123.59
2006-01-20,123.66
2006-01-23,124.77
2006-01-24,126.0
2006-01-25,129.88
2006-01-26,131.2
2006-01-27,134.95
2006-01-30,128.7
2006-01-31,124.0
2006-02-01,129.78
2006-02-02,135.24
2006-02-03,131.0
2006-02-06,131.79
2006-02-07,129.5
2006-02-08,130.94
2006-02-09,132.0
2006-02-10,129.51
2006-02-13,130.01
2006-02-14,128.08
2006-02-15,127.2
2006-02-16,127.51
2006-02-17,130.99
2006-02-20,132.5
2006-02-21,131.45
2006-02-22,132.0
2006-02-26,135.6
2006-02-27,133.01
2006-02-28,129.0
2006-03-01,131.99
2006-03-02,132.0
2006-03-03,133.2
2006-03-06,132.65
2006-03-07,122.99
2006-03-09,123.8
2006-03-10,123.49
2006-03-13,125.68
2006-03-14,120.0
2006-03-15,122.99
2006-03-16,123.0
2006-03-17,126.0
2006-03-20,126.1
2006-03-21,124.8
2006-03-22,126.44
2006-03-23,126.16
2006-03-24,128.51
2006-03-27,129.8
2006-03-28,127.06
2006-03-29,126.38
2006-03-30,131.94
2006-03-31,131.0
2006-04-03,133.35
2006-04-04,133.97
2006-04-05,135.03
2006-04-06,133.53
2006-04-07,133.7
2006-04-10,135.7
2006-04-11,134.34
2006-04-12,138.4
2006-04-13,142.47
2006-04-14,144.0
2006-04-17,146.94
2006-04-18,146.5
2006-04-19,147.71
2006-04-20,147.0
2006-04-21,146.45
2006-04-24,146.22
2006-04-25,140.17
2006-04-26,138.5
2006-04-27,133.0
2006-04-28,138.45
2006-05-02,142.88
2006-05-03,142.1
2006-05-04,142.5
2006-05-05,146.31
2006-05-06,144.4
2006-05-10,147.5
2006-05-11,148.55
2006-05-12,145.94
2006-05-15,138.0
2006-05-16,142.0
2006-05-17,139.0
2006-05-18,136.73
2006-05-19,134.41
2006-05-22,124.0
2006-05-23,127.99
2006-05-24,120.3
2006-05-25,122.95
2006-05-26,129.99
2006-05-29,125.9
2006-05-30,122.99
2006-05-31,121.0
2006-06-01,122.22
2006-06-02,127.79
2006-06-05,127.0
2006-06-06,122.01
2006-06-07,123.49
2006-06-08,118.0
2006-06-09,119.95
2006-06-13,105.0
2006-06-14,110.0
2006-06-15,112.89
2006-06-16,112.5
2006-06-19,112.95
2006-06-20,110.4
2006-06-21,108.07
2006-06-22,105.52
2006-06-23,104.0
2006-06-26,103.49
2006-06-27,105.81
2006-06-28,107.9
2006-06-29,108.45
2006-06-30,111.71
2006-07-03,113.3
2006-07-04,114.0
2006-07-05,109.88
2006-07-06,114.0
2006-07-07,114.15
2006-07-10,114.5
2006-07-11,113.5
2006-07-12,118.95
2006-07-13,116.5
2006-07-14,115.0
2006-07-17,116.11
2006-07-18,115.09
2006-07-19,118.5
2006-07-20,121.5
2006-07-21,118.85
2006-07-24,120.0
2006-07-25,119.1
2006-07-26,116.33
2006-07-27,117.9
2006-07-28,115.3
2006-07-31,116.44
2006-08-01,113.49
2006-08-02,114.4
2006-08-03,114.38
2006-08-04,115.3
