date,TATN
2005-01-11,39.15
2005-01-12,38.9
2005-01-13,38.6
2005-01-14,39.3
2005-01-17,40.6
2005-01-18,40.76
2005-01-19,41.63
2005-01-20,41.647
2005-01-21,41.349
2005-01-24,42.05
2005-01-25,42.38
2005-01-26,42.12
2005-01-27,42.533
2005-01-28,44.751
2005-01-31,44.55
2005-02-01,44.65
2005-02-02,45.3
2005-02-03,46.11
2005-02-04,46.003
2005-02-07,45.885
2005-02-08,46.7
2005-02-09,45.57
2005-02-10,45.2
2005-02-11,44.404
2005-02-14,43.65
2005-02-15,44.3
2005-02-16,44.6
2005-02-17,45.15
2005-02-18,45.5
2005-02-21,45.888
2005-02-22,45.8
2005-02-24,48.3
2005-02-25,49.21
2005-02-28,50.18
2005-03-01,48.6
2005-03-02,48.15
2005-03-03,48.818
2005-03-04,50.0
2005-03-05,50.69
2005-03-09,50.0
2005-03-10,48.5
2005-03-11,48.41
2005-03-14,48.29
2005-03-15,47.67
2005-03-16,46.05
2005-03-17,46.109
2005-03-18,45.41
2005-03-21,44.4
2005-03-22,45.48
2005-03-23,44.599
2005-03-24,46.1
2005-03-25,46.45
2005-03-28,46.57
2005-03-29,45.752
2005-03-30,44.59
2005-03-31,44.84
2005-04-01,46.501
2005-04-04,47.599
2005-04-05,48.28
2005-04-06,48.95
2005-04-07,49.398
2005-04-08,49.3
2005-04-11,47.5
2005-04-12,47.299
2005-04-13,46.7
2005-04-14,46.86
2005-04-15,46.7
2005-04-18,45.78
2005-04-19,46.9
2005-04-20,47.61
2005-04-21,48.3
2005-04-22,48.55
2005-04-25,48.5
2005-04-26,47.26
2005-04-27,46.25
2005-04-28,46.51
2005-04-29,46.55
2005-05-03,46.084
2005-05-04,46.327
2005-05-05,46.771
2005-05-06,46.64
2005-05-11,45.94
2005-05-12,44.6
2005-05-13,44.5
2005-05-14,44.7
2005-05-16,44.05
2005-05-17,46.7
2005-05-18,46.42
2005-05-19,46.3
2005-05-20,46.3
2005-05-23,45.39
2005-05-24,46.68
2005-05-25,46.2
2005-05-26,46.75
2005-05-27,47.0
2005-05-30,46.96
2005-05-31,48.25
2005-06-01,48.2
2005-06-02,49.1
2005-06-03,49.798
2005-06-06,50.38
2005-06-07,51.2
2005-06-08,52.695
2005-06-09,51.6
2005-06-10,51.4
2005-06-14,51.79
2005-06-15,51.543
2005-06-16,51.62
2005-06-17,52.1
2005-06-20,52.0
2005-06-21,51.277
2005-06-22,51.6
2005-06-23,51.45
2005-06-24,51.44
2005-06-27,51.2
2005-06-28,51.579
2005-06-29,51.898
2005-06-30,52.912
2005-07-01,53.99
2005-07-04,55.6
2005-07-05,55.397
2005-07-06,56.8
2005-07-07,57.651
2005-07-08,57.512
2005-07-11,56.878
2005-07-12,56.35
2005-07-13,57.24
2005-07-14,56.875
2005-07-15,56.0
2005-07-18,56.28
2005-07-19,56.6
2005-07-20,57.31
2005-07-21,56.553
2005-07-22,57.301
2005-07-25,58.8
2005-07-26,58.5
2005-07-27,58.4
2005-07-28,59.19
2005-07-29,59.09
2005-08-01,58.553
2005-08-02,59.19
2005-08-03,58.89
2005-08-04,59.201
2005-08-05,59.165
2005-08-08,59.401
2005-08-09,60.201
2005-08-10,60.5
2005-08-11,59.899
2005-08-12,59.8
2005-08-15,60.7
2005-08-16,67.275
2005-08-17,67.12
2005-08-18,65.91
2005-08-19,65.8
2005-08-22,66.4
2005-08-23,65.7
2005-08-24,65.5
2005-08-25,67.0
2005-08-26,67.2
2005-08-29,68.66
2005-08-30,71.004
2005-08-31,70.75
2005-09-01,70.899
2005-09-02,72.7
2005-09-05,72.71
2005-09-06,69.1
2005-09-07,68.0
2005-09-08,70.85
2005-09-09,73.938
2005-09-12,72.2
2005-09-13,71.499
2005-09-14,71.75
2005-09-15,73.21
2005-09-16,74.67
2005-09-19,77.77
2005-09-20,78.689
2005-09-21,81.103
2005-09-22,83.389
2005-09-23,82.651
2005-09-26,79.9
2005-09-27,83.8
2005-09-28,86.61
2005-09-29,85.5
2005-09-30,91.008
2005-10-03,102.91
2005-10-04,102.6
2005-10-05,93.7
2005-10-06,85.24
2005-10-07,84.956
2005-10-10,86.9
2005-10-11,89.9
2005-10-12,85.0
2005-10-13,83.102
2005-10-14,76.8
2005-10-17,79.299
2005-10-18,80.001
2005-10-19,76.2
2005-10-20,78.55
2005-10-21,82.5
2005-10-24,88.75
2005-10-25,87.4
2005-10-26,88.5
2005-10-27,86.05
2005-10-28,87.389
2005-10-31,91.7
2005-11-01,89.869
2005-11-02,94.45
2005-11-03,97.162
2005-11-07,94.0
2005-11-08,93.0
2005-11-09,92.74
2005-11-10,90.001
2005-11-11,91.5
2005-11-14,93.0
2005-11-15,91.45
2005-11-16,91.949
2005-11-17,97.929
2005-11-18,96.681
2005-11-21,96.29
2005-11-22,94.65
2005-11-23,95.13
2005-11-24,96.099
2005-11-25,97.6
2005-11-28,97.151
2005-11-29,97.33
2005-11-30,97.4
2005-12-01,99.46
2005-12-02,99.3
2005-12-05,100.12
2005-12-06,100.4
2005-12-07,100.8
2005-12-08,99.005
2005-12-09,100.65
2005-12-12,100.699
2005-12-13,99.76
2005-12-14,99.6
2005-12-15,100.4
2005-12-16,100.0
2005-12-19,98.311
2005-12-20,96.809
2005-12-21,97.414
2005-12-22,97.521
2005-12-23,96.157
2005-12-26,95.485
2005-12-27,95.001
2005-12-28,93.9
2005-12-29,94.25
2005-12-30,95.3
2006-01-10,102.999
2006-01-11,102.5
2006-01-12,105.4
2006-01-13,104.61
2006-01-16,107.799
2006-01-17,105.53
2006-01-18,104.5
2006-01-19,107.8
2006-01-20,112.994
2006-01-23,113.25
2006-01-24,114.999
2006-01-25,116.5
2006-01-26,115.5
2006-01-27,123.999
2006-01-30,122.79
2006-01-31,121.5
2006-02-01,123.99
2006-02-02,128.65
2006-02-03,125.25
2006-02-06,134.99
