date,LKOH,ROSN,SIBN,SNGS,TATN
2005-01-11,826.89,,82.87,20.51,39.15
2005-01-12,832.0,,84.01,20.67,38.9
2005-01-13,827.2,,84.82,20.464,38.6
2005-01-14,836.5,,86.4,20.975,39.3
2005-01-17,830.0,,85.0,20.41,40.6
2005-01-18,817.95,,83.0,20.15,40.76
2005-01-19,824.89,,84.1,20.32,41.63
2005-01-20,810.88,,80.07,19.87,41.647
2005-01-21,810.94,,80.9,19.8,41.349
2005-01-24,821.5,,82.7,20.079,42.05
2005-01-25,826.0,,82.75,20.5,42.38
2005-01-26,830.21,,82.5,20.2,42.12
2005-01-27,837.0,,82.49,20.501,42.533
2005-01-28,850.0,,84.8,21.11,44.751
2005-01-31,868.0,,88.18,21.07,44.55
2005-02-01,873.98,,88.74,21.3,44.65
2005-02-02,875.0,,90.15,21.494,45.3
2005-02-03,880.01,,89.12,21.37,46.11
2005-02-04,884.5,,88.0,21.5,46.003
2005-02-07,884.26,,87.19,21.35,45.885
2005-02-08,896.0,,90.0,21.549,46.7
2005-02-09,885.49,,88.1,21.21,45.57
2005-02-10,888.86,,90.0,21.374,45.2
2005-02-11,875.0,,89.4,21.05,44.404
2005-02-14,881.0,,89.29,21.012,43.65
2005-02-15,886.8,,89.11,21.11,44.3
2005-02-16,896.0,,90.8,21.1,44.6
2005-02-17,905.5,,92.65,21.3,45.15
2005-02-18,911.0,,94.01,21.31,45.5
2005-02-21,915.41,,94.92,21.48,45.888
2005-02-22,913.77,,93.89,21.287,45.8
2005-02-24,939.8,,96.55,21.72,48.3
2005-02-25,956.5,,96.49,22.08,49.21
2005-02-28,968.25,,97.5,23.198,50.18
2005-03-01,952.0,,96.6,22.853,48.6
2005-03-02,941.99,,94.69,22.42,48.15
2005-03-03,937.0,,95.5,22.53,48.818
2005-03-04,952.0,,96.75,22.85,50.0
2005-03-05,954.7,,98.77,22.96,50.69
2005-03-09,958.5,,98.05,22.829,50.0
2005-03-10,934.0,,94.0,22.08,48.5
2005-03-11,949.0,,93.48,22.07,48.41
2005-03-14,932.02,,90.5,21.53,48.29
2005-03-15,925.2,,90.75,21.4,47.67
2005-03-16,903.1,,87.9,20.529,46.05
2005-03-17,920.0,,88.5,20.85,46.109
2005-03-18,920.05,,88.5,20.479,45.41
2005-03-21,908.0,,85.5,20.12,44.4
2005-03-22,929.0,,87.2,20.601,45.48
2005-03-23,899.5,,86.87,19.952,44.599
2005-03-24,933.05,,91.0,20.598,46.1
2005-03-25,938.42,,91.58,20.942,46.45
2005-03-28,942.5,,91.6,20.56,46.57
2005-03-29,940.0,,89.16,20.408,45.752
2005-03-30,929.0,,87.68,19.97,44.59
2005-03-31,945.9,,88.22,19.95,44.84
2005-04-01,971.0,,90.12,20.805,46.501
2005-04-04,966.0,,89.05,20.62,47.599
2005-04-05,979.0,,90.66,20.831,48.28
2005-04-06,1016.0,,93.45,21.65,48.95
2005-04-07,1012.0,,93.88,21.49,49.398
2005-04-08,1021.9,,93.89,21.75,49.3
2005-04-11,1001.1,,89.99,20.985,47.5
2005-04-12,998.26,,89.5,20.82,47.299
2005-04-13,997.55,,88.75,20.95,46.7
2005-04-14,973.55,,86.45,20.53,46.86
2005-04-15,964.51,,85.14,20.3,46.7
2005-04-18,947.55,,85.4,19.87,45.78
2005-04-19,945.1,,86.95,20.1,46.9
2005-04-20,943.5,,86.65,20.02,47.61
2005-04-21,959.99,,88.3,20.157,48.3
2005-04-22,972.0,,89.26,20.35,48.55
2005-04-25,978.5,,90.05,20.259,48.5
2005-04-26,972.0,,88.5,19.97,47.26
2005-04-27,954.97,,86.2,19.69,46.25
2005-04-28,950.5,,86.4,19.7,46.51
2005-04-29,941.5,,86.89,19.49,46.55
2005-05-03,942.45,,86.99,19.579,46.084
2005-05-04,941.0,,87.04,19.62,46.327
2005-05-05,944.8,,88.51,19.73,46.771
2005-05-06,949.0,,86.98,19.43,46.64
2005-05-11,931.0,,86.12,19.215,45.94
2005-05-12,920.0,,82.99,19.25,44.6
2005-05-13,901.75,,84.0,19.27,44.5
2005-05-14,900.49,,83.87,19.261,44.7
2005-05-16,882.5,,82.27,18.685,44.05
2005-05-17,926.98,,84.86,19.179,46.7
2005-05-18,931.81,,85.09,19.23,46.42
2005-05-19,931.0,,85.58,19.044,46.3
2005-05-20,930.97,,85.1,19.1,46.3
2005-05-23,935.9,,85.0,19.18,45.39
2005-05-24,981.01,,86.65,19.719,46.68
2005-05-25,967.5,,85.6,19.4,46.2
2005-05-26,981.0,,84.65,19.52,46.75
2005-05-27,977.47,,85.29,19.438,47.0
2005-05-30,974.1,,85.0,19.37,46.96
2005-05-31,983.5,,88.04,19.4,48.25
2005-06-01,988.0,,86.25,19.195,48.2
2005-06-02,992.0,,86.9,19.72,49.1
2005-06-03,994.0,,87.03,19.977,49.798
2005-06-06,990.0,,86.45,20.174,50.38
2005-06-07,992.75,,87.18,20.169,51.2
2005-06-08,986.51,,86.95,19.75,52.695
2005-06-09,988.0,,86.55,19.93,51.6
2005-06-10,997.69,,86.92,20.193,51.4
2005-06-14,1016.0,,88.65,20.6,51.79
2005-06-15,1008.0,,87.51,20.67,51.543
2005-06-16,1000.0,,87.4,20.73,51.62
2005-06-17,1005.5,,88.5,21.05,52.1
2005-06-20,1012.5,,88.98,21.132,52.0
2005-06-21,1009.0,,87.88,21.1,51.277
2005-06-22,1028.99,,89.1,21.576,51.6
2005-06-23,1032.61,,89.21,21.68,51.45
2005-06-24,1033.75,,91.1,21.663,51.44
2005-06-27,1035.0,,90.31,21.45,51.2
2005-06-28,1039.5,,91.73,21.18,51.579
2005-06-29,1034.5,,92.87,21.019,51.898
2005-06-30,1053.97,,94.95,21.345,52.912
2005-07-01,1074.0,,98.29,21.712,53.99
2005-07-04,1090.0,,102.0,21.98,55.6
2005-07-05,1098.7,,99.93,22.098,55.397
2005-07-06,1125.0,,101.98,22.75,56.8
2005-07-07,1116.01,,101.17,22.454,57.651
2005-07-08,1133.51,,100.49,22.7,57.512
2005-07-11,1139.5,,100.0,22.67,56.878
2005-07-12,1133.9,,98.25,22.475,56.35
2005-07-13,1142.93,,98.79,22.762,57.24
2005-07-14,1135.0,,96.63,22.46,56.875
2005-07-15,1118.41,,95.84,22.111,56.0
2005-07-18,1103.0,,94.3,21.952,56.28
2005-07-19,1117.55,,95.3,22.138,56.6
2005-07-20,1143.3,,96.44,22.676,57.31
2005-07-21,1130.95,,97.5,22.263,56.553
2005-07-22,1140.99,,96.87,22.503,57.301
2005-07-25,1138.54,,95.29,22.597,58.8
2005-07-26,1134.33,,95.4,22.33,58.5
2005-07-27,1152.99,,98.4,22.452,58.4
2005-07-28,1181.77,,91.0,23.1,59.19
2005-07-29,1184.9,,89.92,23.299,59.09
2005-08-01,1194.8,,89.39,23.23,58.553
2005-08-02,1208.99,,89.66,23.498,59.19
2005-08-03,1193.0,,85.7,23.029,58.89
2005-08-04,1206.0,,88.0,23.206,59.201
2005-08-05,1221.1,,88.15,23.27,59.165
2005-08-08,1245.2,,89.0,23.49,59.401
2005-08-09,1264.0,,88.84,24.04,60.201
2005-08-10,1267.0,,89.0,24.27,60.5
2005-08-11,1236.32,,88.5,23.777,59.899
2005-08-12,1217.7,,88.68,23.516,59.8
2005-08-15,1234.15,,90.8,23.631,60.7
2005-08-16,1281.21,,96.4,24.13,67.275
2005-08-17,1299.0,,100.25,24.32,67.12
2005-08-18,1280.5,,103.0,23.94,65.91
2005-08-19,1313.0,,105.78,24.4,65.8
2005-08-22,1317.03,,103.3,24.693,66.4
2005-08-23,1320.5,,102.55,24.483,65.7
2005-08-24,1322.5,,102.29,24.801,65.5
2005-08-25,1338.0,,104.0,25.2,67.0
2005-08-26,1356.5,,103.75,26.029,67.2
2005-08-29,1367.0,,102.1,26.5,68.66
2005-08-30,1366.5,,101.01,26.95,71.004
2005-08-31,1387.01,,100.0,27.3,70.75
2005-09-01,1387.99,,99.99,27.53,70.899
2005-09-02,1394.01,,100.5,27.84,72.7
2005-09-05,1373.0,,99.35,27.5,72.71
2005-09-06,1338.51,,98.02,26.466,69.1
2005-09-07,1311.49,,96.5,25.963,68.0
2005-09-08,1328.0,,96.75,26.098,70.85
2005-09-09,1363.98,,99.0,26.89,73.938
2005-09-12,1356.97,,98.03,26.51,72.2
2005-09-13,1345.0,,95.31,26.1,71.499
