date,SNGS
2005-01-11,20.51
2005-01-12,20.67
2005-01-13,20.464
2005-01-14,20.975
2005-01-17,20.41
2005-01-18,20.15
2005-01-19,20.32
2005-01-20,19.87
2005-01-21,19.8
2005-01-24,20.079
2005-01-25,20.5
2005-01-26,20.2
2005-01-27,20.501
2005-01-28,21.11
2005-01-31,21.07
2005-02-01,21.3
2005-02-02,21.494
2005-02-03,21.37
2005-02-04,21.5
2005-02-07,21.35
2005-02-08,21.549
2005-02-09,21.21
2005-02-10,21.374
2005-02-11,21.05
2005-02-14,21.012
2005-02-15,21.11
2005-02-16,21.1
2005-02-17,21.3
2005-02-18,21.31
2005-02-21,21.48
2005-02-22,21.287
2005-02-24,21.72
2005-02-25,22.08
2005-02-28,23.198
2005-03-01,22.853
2005-03-02,22.42
2005-03-03,22.53
2005-03-04,22.85
2005-03-05,22.96
2005-03-09,22.829
2005-03-10,22.08
2005-03-11,22.07
2005-03-14,21.53
2005-03-15,21.4
2005-03-16,20.529
2005-03-17,20.85
2005-03-18,20.479
2005-03-21,20.12
2005-03-22,20.601
2005-03-23,19.952
2005-03-24,20.598
2005-03-25,20.942
2005-03-28,20.56
2005-03-29,20.408
2005-03-30,19.97
2005-03-31,19.95
2005-04-01,20.805
2005-04-04,20.62
2005-04-05,20.831
2005-04-06,21.65
2005-04-07,21.49
2005-04-08,21.75
2005-04-11,20.985
2005-04-12,20.82
2005-04-13,20.95
2005-04-14,20.53
2005-04-15,20.3
2005-04-18,19.87
2005-04-19,20.1
2005-04-20,20.02
2005-04-21,20.157
2005-04-22,20.35
2005-04-25,20.259
2005-04-26,19.97
2005-04-27,19.69
2005-04-28,19.7
2005-04-29,19.49
2005-05-03,19.579
2005-05-04,19.62
2005-05-05,19.73
2005-05-06,19.43
2005-05-11,19.215
2005-05-12,19.25
2005-05-13,19.27
2005-05-14,19.261
2005-05-16,18.685
2005-05-17,19.179
2005-05-18,19.23
2005-05-19,19.044
2005-05-20,19.1
2005-05-23,19.18
2005-05-24,19.719
2005-05-25,19.4
2005-05-26,19.52
2005-05-27,19.438
2005-05-30,19.37
2005-05-31,19.4
2005-06-01,19.195
2005-06-02,19.72
2005-06-03,19.977
2005-06-06,20.174
2005-06-07,20.169
2005-06-08,19.75
2005-06-09,19.93
2005-06-10,20.193
2005-06-14,20.6
2005-06-15,20.67
2005-06-16,20.73
2005-06-17,21.05
2005-06-20,21.132
2005-06-21,21.1
2005-06-22,21.576
2005-06-23,21.68
2005-06-24,21.663
2005-06-27,21.45
2005-06-28,21.18
2005-06-29,21.019
2005-06-30,21.345
2005-07-01,21.712
2005-07-04,21.98
2005-07-05,22.098
2005-07-06,22.75
2005-07-07,22.454
2005-07-08,22.7
2005-07-11,22.67
2005-07-12,22.475
2005-07-13,22.762
2005-07-14,22.46
2005-07-15,22.111
2005-07-18,21.952
2005-07-19,22.138
2005-07-20,22.676
2005-07-21,22.263
2005-07-22,22.503
2005-07-25,22.597
2005-07-26,22.33
2005-07-27,22.452
2005-07-28,23.1
2005-07-29,23.299
2005-08-01,23.23
2005-08-02,23.498
2005-08-03,23.029
2005-08-04,23.206
2005-08-05,23.27
2005-08-08,23.49
2005-08-09,24.04
2005-08-10,24.27
2005-08-11,23.777
2005-08-12,23.516
2005-08-15,23.631
2005-08-16,24.13
2005-08-17,24.32
2005-08-18,23.94
2005-08-19,24.4
2005-08-22,24.693
2005-08-23,24.483
2005-08-24,24.801
2005-08-25,25.2
2005-08-26,26.029
2005-08-29,26.5
2005-08-30,26.95
2005-08-31,27.3
2005-09-01,27.53
2005-09-02,27.84
2005-09-05,27.5
2005-09-06,26.466
2005-09-07,25.963
2005-09-08,26.098
2005-09-09,26.89
2005-09-12,26.51
2005-09-13,26.1
2005-09-14,25.893
2005-09-15,26.792
2005-09-16,27.955
2005-09-19,29.888
2005-09-20,29.25
2005-09-21,30.248
2005-09-22,29.761
2005-09-23,29.95
2005-09-26,29.186
2005-09-27,30.67
2005-09-28,30.29
2005-09-29,30.4
2005-09-30,30.606
2005-10-03,31.739
2005-10-04,31.8
2005-10-05,30.265
2005-10-06,28.1
2005-10-07,28.1
2005-10-10,28.7
2005-10-11,30.0
2005-10-12,28.075
2005-10-13,27.87
2005-10-14,26.25
2005-10-17,26.3
2005-10-18,26.2
2005-10-19,24.6
2005-10-20,24.927
2005-10-21,25.037
2005-10-24,25.849
2005-10-25,25.771
2005-10-26,26.32
2005-10-27,25.39
2005-10-28,25.885
2005-10-31,26.86
2005-11-01,27.398
2005-11-02,28.45
2005-11-03,28.49
2005-11-07,28.3
2005-11-08,28.316
2005-11-09,28.695
2005-11-10,28.04
2005-11-11,28.04
2005-11-14,28.53
2005-11-15,28.081
2005-11-16,28.39
2005-11-17,28.96
2005-11-18,29.07
2005-11-21,29.8
2005-11-22,29.85
2005-11-23,30.0
2005-11-24,30.89
2005-11-25,30.5
2005-11-28,30.1
2005-11-29,29.92
2005-11-30,29.561
2005-12-01,30.45
2005-12-02,31.13
2005-12-05,31.226
2005-12-06,31.21
2005-12-07,31.512
2005-12-08,31.19
2005-12-09,31.295
2005-12-12,31.599
2005-12-13,31.123
2005-12-14,30.912
2005-12-15,30.551
2005-12-16,30.88
2005-12-19,31.031
2005-12-20,30.965
2005-12-21,31.399
2005-12-22,31.48
2005-12-23,31.099
2005-12-26,30.93
2005-12-27,30.492
2005-12-28,30.332
2005-12-29,30.75
2005-12-30,31.1
2006-01-10,35.2
2006-01-11,36.212
2006-01-12,35.84
2006-01-13,35.1
2006-01-16,36.52
2006-01-17,35.599
2006-01-18,35.47
2006-01-19,36.601
2006-01-20,37.53
2006-01-23,36.324
2006-01-24,37.16
2006-01-25,37.15
2006-01-26,38.38
2006-01-27,40.69
2006-01-30,39.23
2006-01-31,38.601
2006-02-01,39.56
2006-02-02,38.5
2006-02-03,37.9
2006-02-06,38.894
2006-02-07,38.101
2006-02-08,38.51
2006-02-09,39.3
2006-02-10,38.6
2006-02-13,38.7
2006-02-14,37.899
2006-02-15,37.99
2006-02-16,37.8
2006-02-17,40.2
2006-02-20,41.329
2006-02-21,40.801
2006-02-22,42.775
2006-02-26,45.065
2006-02-27,44.001
2006-02-28,41.09
2006-03-01,41.651
