,Доллар,Евро,Юань
2006-07-17 00:00:00+00:00,26.9277,34.0151,3.36689
2006-07-18 00:00:00+00:00,26.9277,34.0151,3.36689
2006-07-19 00:00:00+00:00,27.0194,33.8661,3.37489
2006-07-20 00:00:00+00:00,27.0554,33.8247,3.38023
2006-07-21 00:00:00+00:00,26.9674,33.9789,3.372610000000001
2006-07-22 00:00:00+00:00,26.9122,34.0332,3.367600000000001
2006-07-23 00:00:00+00:00,26.9122,34.0332,3.367600000000001
2006-07-24 00:00:00+00:00,26.9122,34.0332,3.367600000000001
2006-07-25 00:00:00+00:00,26.9223,34.0136,3.37148
2006-07-26 00:00:00+00:00,26.9073,34.0673,3.36762
2006-07-27 00:00:00+00:00,26.9878,33.9291,3.37761
2006-07-28 00:00:00+00:00,26.8431,34.1713,3.36498
2006-07-29 00:00:00+00:00,26.8718,34.1084,3.369380000000001
2006-07-30 00:00:00+00:00,26.8718,34.1084,3.369380000000001
2006-07-31 00:00:00+00:00,26.8718,34.1084,3.369380000000001
2006-08-01 00:00:00+00:00,26.8197,34.2112,3.365720000000001
2006-08-02 00:00:00+00:00,26.8416,34.172,3.3639
2006-08-03 00:00:00+00:00,26.7605,34.3016,3.35374
2006-08-04 00:00:00+00:00,26.804,34.2126,3.36016
2006-08-05 00:00:00+00:00,26.771,34.2508,3.3556
2006-08-06 00:00:00+00:00,26.771,34.2508,3.3556
2006-08-07 00:00:00+00:00,26.771,34.2508,3.3556
2006-08-08 00:00:00+00:00,26.6962,34.3633,3.35038
2006-08-09 00:00:00+00:00,26.7348,34.2954,3.35233
2006-08-10 00:00:00+00:00,26.7391,34.3009,3.35152
2006-08-11 00:00:00+00:00,26.6738,34.3852,3.34736
2006-08-12 00:00:00+00:00,26.793,34.2039,3.35773
2006-08-13 00:00:00+00:00,26.793,34.2039,3.35773
2006-08-14 00:00:00+00:00,26.793,34.2039,3.35773
2006-08-15 00:00:00+00:00,26.8189,34.1887,3.35668
2006-08-16 00:00:00+00:00,26.8337,34.1486,3.35673
2006-08-17 00:00:00+00:00,26.7804,34.2495,3.356150000000001
2006-08-18 00:00:00+00:00,26.7225,34.3625,3.3491
2006-08-19 00:00:00+00:00,26.7364,34.3162,3.35211
2006-08-20 00:00:00+00:00,26.7364,34.3162,3.35211
