Ticker,LKOH,LKOH,LKOH,LKOH,LKOH,LKOH,ROSN,ROSN,ROSN,ROSN,ROSN,ROSN,SIBN,SIBN,SIBN,SIBN,SIBN,SIBN,SNGS,SNGS,SNGS,SNGS,SNGS,SNGS,TATN,TATN,TATN,TATN,TATN,TATN
Indicator,open,close,high,low,volume,volume,open,close,high,low,volume,volume,open,close,high,low,volume,volume,open,close,high,low,volume,volume,open,close,high,low,volume,volume
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-11,828.0,826.89,842.85,821.0,586197784.81,702948,,,,,,,83.99,82.87,84.5,82.0,10092815.0,120500.0,20.33,20.51,20.6,20.107,128365193.7,6313900,39.75,39.15,39.9,38.977,44915856.3,1140000.0
2005-01-12,829.95,832.0,832.89,815.8,988063400.15,1197546,,,,,,,82.98,84.01,84.4,82.3,8182567.0,98200.0,20.6,20.67,20.93,20.282,279543705.6,13594200,39.08,38.9,39.2,38.7,25269850.7,648500.0
2005-01-13,832.0,827.2,833.0,821.5,611047641.82,737956,,,,,,,83.4,84.82,85.5,83.0,22833755.0,269700.0,20.699,20.464,20.74,20.351,130401717.9,6353000,38.7,38.6,38.95,38.449,47515080.3,1229100.0
2005-01-14,828.63,836.5,843.0,825.56,617594635.72,739058,,,,,,,86.0,86.4,86.5,85.1,27977137.0,325000.0,20.425,20.975,21.129,20.425,311838761.2,14910300,38.65,39.3,39.48,38.65,26700455.9,682700.0
2005-01-17,837.76,830.0,849.5,829.0,805140880.95,957147,,,,,,,86.91,85.0,87.12,84.65,21782008.0,253500.0,21.087,20.41,21.27,20.4,351252137.0,16807100,41.158,40.6,41.473,39.603,111555077.1,2743000.0
2005-01-18,829.75,817.95,841.0,811.3,1456489492.24,1763715,,,,,,,85.0,83.0,86.45,82.59,46156163.0,547400.0,20.458,20.15,20.565,19.9,399006027.5,19689647,40.665,40.76,41.25,40.1,55684257.4,1366000.0
2005-01-19,819.0,824.89,830.88,814.18,940210842.77,1142028,,,,,,,82.85,84.1,84.87,82.05,13111164.0,156900.0,20.2,20.32,20.444,20.02,250647682.7,12388900,40.801,41.63,41.8,40.5,46668309.6,1134300.0
2005-01-20,823.9,810.88,827.0,807.0,1079918648.59,1325983,,,,,,,83.52,80.07,84.7,80.07,15871577.0,194700.0,20.4,19.87,20.48,19.702,258491587.4,12965675,41.89,41.647,41.89,41.0,55754924.9,1343700.0
2005-01-21,813.78,810.94,817.0,804.1,551752960.32,679331,,,,,,,80.09,80.9,81.96,80.09,11579425.0,142800.0,19.825,19.8,19.997,19.65,210798798.1,10629600,41.302,41.349,41.749,41.0,20900041.0,505000.0
2005-01-24,811.99,821.5,825.0,811.99,962861416.69,1174375,,,,,,,82.15,82.7,83.0,80.25,30062289.0,364200.0,19.876,20.079,20.1,19.8,218987133.3,10955500,41.599,42.05,42.144,41.58,20389013.4,486700.0
2005-01-25,821.85,826.0,832.5,821.15,1260856301.01,1526002,,,,,,,82.99,82.75,85.3,81.51,67842568.0,810500.0,20.065,20.5,20.76,20.065,422474982.8,20654700,42.55,42.38,42.55,41.85,46854449.9,1112400.0
