,category,Чистая прибыль,Капитализация,Количество акций,Выручка,Валовая прибыль,EBITDA,Операционные расходы,Общие и административные расходы,tiker
0,2023,1155000000000,,0,0,0,0,0,0,LKOH
1,2022,790120077000,,0,2874037264000,1089007093000,938758213000,152738032000,35599513000,LKOH
2,2021,635708387000,,0,9220710000000,3019285000000,1443094000000,2044537000000,215190000000,LKOH
3,2020,15175000000,,664578000,5195101000000,1495846000000,682589000000,1218697000000,199027000000,LKOH
4,2019,640178000000,,664578000,7841246000000,2313191000000,1233440000000,1494845000000,197172000000,LKOH
5,2018,619174000000,,708059000,8035889000000,2888407000000,1111806000000,2119686000000,192433000000,LKOH
6,2017,418805000000,,710871000,5936705000000,2208995000000,828865000000,1705184000000,165331000000,LKOH
7,2016,206794000000,,712933000,5227045000000,1604077000000,728408000000,1187257000000,196156000000,LKOH
8,2015,291135000000,,712933000,5749050000000,1805213000000,815668000000,1340521000000,168669000000,LKOH
9,2014,263813244240,,754866000,8013730295480,2730016827720,983602055800,2236464826960,214452485520,LKOH
10,2013,257546861440,,754866000,4651496251840,1782439999680,610457090880,1361262752320,126570208080,LKOH
11,2012,334264876680,,760588000,4227551540570,1684842001550,573268516240,1258353554750,114064395850,LKOH
12,2011,331307380180,,778964000,4275295101000,2169956177900,617094783340,1695947028580,122260964280,LKOH
13,2010,276123960000,,0,0,0,0,0,0,LKOH
14,2009,212423450000,,0,0,0,0,0,0,LKOH
15,2008,252740160000,,0,0,0,0,0,0,LKOH
16,2007,234826590000,,0,0,0,0,0,0,LKOH
0,2023,1529000000000,,0,9163000000000,8488000000000,2951000000000,6531000000000,0,ROSN
1,2022,813000000000,,0,0,0,0,0,0,ROSN
2,2021,883000000000,,0,8171000000000,1738000000000,2251000000000,322000000000,235000000000,ROSN
3,2020,147000000000,,10598000000,4698000000000,601000000000,989000000000,275000000000,212000000000,ROSN
4,2019,708000000000,,10598000000,7783000000000,4082000000000,1892000000000,2877000000000,200000000000,ROSN
5,2018,549000000000,,10598000000,6768000000000,1496000000000,1824000000000,307000000000,167000000000,ROSN
6,2017,222000000000,,10598000000,5296000000000,2670000000000,1150000000000,2106000000000,172000000000,ROSN
7,2016,181000000000,,10598000000,4108000000000,871000000000,1118000000000,235000000000,129000000000,ROSN
8,2015,355000000000,,10598000000,4113000000000,925000000000,1149000000000,226000000000,130000000000,ROSN
9,2014,348000000000,,10598000000,3693000000000,812000000000,1069000000000,207000000000,114000000000,ROSN
10,2013,545000000000,,10304000000,3164000000000,730000000000,935000000000,187000000000,111000000000,ROSN
11,2012,341000000000,,9416000000,2146000000000,1087000000000,578000000000,736000000000,68000000000,ROSN
12,2011,316000000000,,9591000000,91975000000,81917000000,22424000000,65489000000,0,ROSN
13,2010,293000000000,,0,0,0,0,0,0,ROSN
14,2009,195000000000,,0,0,0,0,0,0,ROSN
15,2008,314000000000,,0,0,0,0,0,0,ROSN
16,2007,322000000000,,0,0,0,0,0,0,ROSN
17,2006,91000000000,,0,0,0,0,0,0,ROSN
0,2023,641110000000,,0,3519959000000,3092910000000,1085624000000,2325283000000,0,SIBN
1,2022,729650000000,,0,3412129000000,3096839000000,1180745000000,2202491000000,0,SIBN
2,2021,503445000000,,0,2986178000000,1580692000000,898209000000,1019355000000,132328000000,SIBN
3,2020,117699000000,,4718000000,1959015000000,980164000000,367328000000,834987000000,115926000000,SIBN
4,2019,400201000000,,4718000000,2485308000000,1378428000000,627940000000,931860000000,125592000000,SIBN
5,2018,376667000000,,4718000000,2489292000000,1466506000000,632193000000,1009764000000,114882000000,SIBN
6,2017,253274000000,,4718000000,1857931000000,1043403000000,443521000000,740880000000,106629000000,SIBN
7,2016,200179000000,,4718000000,1545608000000,861412000000,368161000000,623096000000,108981000000,SIBN
8,2015,109661000000,,4718000000,1467943000000,808344000000,321245000000,585600000000,100176000000,SIBN
9,2014,122093000000,,4718000000,1408238000000,767135000000,305607000000,547479000000,86318000000,SIBN
10,2013,177917000000,,4718000000,1267603000000,724339000000,303541000000,497583000000,72005000000,SIBN
11,2012,176296000000,,4718000000,1230266000000,614690000000,261699000000,411452000000,66115000000,SIBN
12,2011,171203736480,,4718000000,1413006623280,1048590897200,286043313080,825341480740,501327533280,SIBN
13,2010,107403120000,,0,0,0,0,0,0,SIBN
14,2009,88480240000,,0,0,0,0,0,0,SIBN
15,2008,128747120000,,0,0,0,0,0,0,SIBN
16,2007,101420640000,,0,0,0,0,0,0,SIBN
17,2006,962476900000,,0,0,0,0,0,0,SIBN
0,2023,1334122850000,0.0,0,2218771228000,525683230000,583654688000,829711672000,36107853000,SNGS
1,2022,60729545000,0.0,0,2333088493000,679124591000,691483219000,745268915000,35220880000,SNGS
2,2021,513220494000,0.0,0,1888308109000,526519175000,531887922999,41205337000,31528607000,SNGS
3,2020,729578490000,1289742470336.4148,38459593569,1062231992000,274498432000,180857868000,93640564000,0,SNGS
4,2019,105478643000,1843951536712.8103,38495855109,1555622592000,483787025000,123294709000,108760679000,0,SNGS
5,2018,827641293000,1055511862741.05,38459167890,1524947700000,491090228000,1008390471000,99303190000,0,SNGS
6,2017,149736588000,1166328654670.504,38492696144,1144372835000,325779926000,184499227000,93569907000,0,SNGS
7,2016,-104756328000,1151448818850.0,35725995000,992538456000,329790262000,-123074759000,94334433000,0,SNGS
8,2015,751355297000,1306320971449.0051,35725995000,978204539000,313863205000,902537954000,79717110000,0,SNGS
9,2014,891679409000,1195827064255.5,38451031005,862599616000,241289714000,1068136280000,64439756000,0,SNGS
10,2013,256517000000,998720181978.2748,35725994705,814188000000,267462000000,313118000000,67791000000,0,SNGS
11,2012,160940000000,1114651070521.9946,35725994705,1631148000000,1094203000000,194958000000,63440000000,0,SNGS
12,2011,291338000000,983072196297.485,35725994705,754431000000,273116000000,291338000000,56043000000,0,SNGS
